Year,First_Area,Child_Area,Type,Storage
2010,A,4,product_14,1
2010,A,4,product_55,2
2010,A,7,product_14,1
2010,A,7,product_55,2
2010,A,8,product_14,31
2010,A,8,product_15,1
2010,A,8,product_19,2
2010,A,8,product_31,5
2010,A,8,product_43,3
2010,A,8,product_55,15
2010,A,8,product_8,7
2010,A,10,product_14,4
2010,A,10,product_15,3
2010,A,10,product_31,5
2010,A,10,product_37,1
2010,A,10,product_48,2
2010,A,10,product_55,9
2010,A,10,product_8,5
2010,A,13,product_14,43
2010,A,13,product_15,8
2010,A,13,product_19,1
2010,A,13,product_37,11
2010,A,13,product_43,1
2010,A,13,product_48,4
2010,A,13,product_55,44
2010,A,13,product_60,3
2010,A,13,product_64,2
2010,A,15,product_14,1
2010,A,21,product_14,39
2010,A,21,product_15,9
2010,A,21,product_19,1
2010,A,21,product_26,3
2010,A,21,product_31,5
2010,A,21,product_37,10
2010,A,21,product_43,3
2010,A,21,product_48,6
2010,A,21,product_55,69
2010,A,21,product_64,3
2010,A,21,product_8,69
2010,A,28,product_14,3
2010,A,28,product_15,3
2010,A,28,product_37,1
2010,A,28,product_48,2
2010,A,28,product_55,4
2010,A,28,product_64,1
2010,A,28,product_8,2
2010,A,33,product_14,12
2010,A,33,product_3,1
2010,A,33,product_43,2
2010,A,33,product_48,1
2010,A,33,product_55,8
2010,A,33,product_64,2
2010,A,34,product_55,2
2010,A,34,product_60,1
2010,A,34,product_64,1
2010,A,37,product_14,5
2010,A,37,product_15,2
2010,A,37,product_31,2
2010,A,37,product_37,1
2010,A,37,product_48,3
2010,A,37,product_55,8
2010,A,37,product_8,13
2010,A,38,product_14,6
2010,A,38,product_15,1
2010,A,38,product_19,1
2010,A,38,product_55,1
2010,A,42,product_14,53
2010,A,42,product_15,4
2010,A,42,product_19,1
2010,A,42,product_37,24
2010,A,42,product_43,3
2010,A,42,product_48,8
2010,A,42,product_55,97
2010,A,42,product_60,3
2010,A,42,product_64,3
2010,A,51,product_14,30
2010,A,51,product_15,2
2010,A,51,product_48,3
2010,A,51,product_55,4
2010,A,53,product_14,1
2010,A,53,product_31,1
2010,A,53,product_55,2
2010,A,55,product_14,1
2010,A,55,product_64,1
2010,A,60,product_14,13
2010,A,60,product_15,5
2010,A,60,product_19,1
2010,A,60,product_31,2
2010,A,60,product_48,3
2010,A,60,product_55,9
2010,A,60,product_64,2
2010,A,61,product_8,1
2010,A,62,product_14,12
2010,A,62,product_15,3
2010,A,62,product_37,6
2010,A,62,product_43,1
2010,A,62,product_55,10
2010,A,62,product_60,1
2010,A,62,product_8,2
2010,A,65,product_14,1
2010,A,65,product_15,1
2010,A,65,product_31,2
2010,A,65,product_55,1
2010,A,68,product_14,43
2010,A,68,product_15,23
2010,A,68,product_37,11
2010,A,68,product_48,4
2010,A,68,product_55,50
2010,A,68,product_60,2
2010,A,68,product_64,2
2010,A,69,product_14,5
2010,A,69,product_31,1
2010,A,69,product_48,2
2010,A,69,product_55,6
2010,A,69,product_8,2
2010,A,70,product_14,12
2010,A,70,product_15,1
2010,A,70,product_31,2
2010,A,70,product_43,1
2010,A,70,product_48,8
2010,A,70,product_55,17
2010,A,70,product_64,1
2010,A,71,product_14,3
2010,A,71,product_15,1
2010,A,71,product_55,1
2010,A,71,product_64,1
2010,A,73,product_14,26
2010,A,73,product_15,13
2010,A,73,product_31,3
2010,A,73,product_37,20
2010,A,73,product_48,7
2010,A,73,product_55,45
2010,A,73,product_60,1
2010,A,79,product_3,1
2010,A,79,product_55,2
2010,A,79,product_8,4
2010,A,80,product_14,4
2010,A,80,product_15,1
2010,A,80,product_37,1
2010,A,80,product_48,1
2010,A,80,product_55,4
2010,A,80,product_8,3
2010,A,81,product_14,14
2010,A,81,product_19,2
2010,A,81,product_26,1
2010,A,81,product_31,5
2010,A,81,product_37,7
2010,A,81,product_43,2
2010,A,81,product_48,3
2010,A,81,product_55,12
2010,A,81,product_64,2
2010,A,81,product_8,119
2010,A,84,product_8,1
2010,A,87,product_14,18
2010,A,87,product_15,7
2010,A,87,product_19,1
2010,A,87,product_31,54
2010,A,87,product_37,2
2010,A,87,product_43,1
2010,A,87,product_48,14
2010,A,87,product_55,67
2010,A,87,product_60,2
2010,A,87,product_8,21
2010,A,88,product_14,2
2010,A,88,product_19,1
2010,A,88,product_27,2
2010,A,88,product_31,1
2010,A,88,product_55,12
2010,A,88,product_8,20
2010,A,89,product_14,2
2010,A,89,product_31,1
2010,A,89,product_48,7
2010,A,89,product_55,6
2010,A,89,product_64,1
2010,A,90,product_14,2
2010,A,90,product_3,1
2010,A,90,product_31,1
2010,A,90,product_37,2
2010,A,90,product_55,1
2010,A,90,product_8,1
2010,A,91,product_14,7
2010,A,91,product_15,2
2010,A,91,product_31,1
2010,A,91,product_37,2
2010,A,91,product_43,2
2010,A,91,product_48,1
2010,A,91,product_55,12
2010,A,91,product_64,1
2010,A,91,product_8,19
2010,A,96,product_14,3
2010,A,96,product_31,1
2010,A,96,product_37,1
2010,A,96,product_48,2
2010,A,96,product_55,5
2010,A,96,product_8,5
2010,A,98,product_14,17
2010,A,98,product_15,4
2010,A,98,product_48,8
2010,A,98,product_55,6
2010,A,98,product_60,1
2010,A,98,product_64,3
2010,A,98,product_8,3
2010,A,101,product_55,1
2010,A,101,product_8,28
2010,A,103,product_14,14
2010,A,103,product_15,9
2010,A,103,product_19,1
2010,A,103,product_3,1
2010,A,103,product_31,14
2010,A,103,product_37,6
2010,A,103,product_43,1
2010,A,103,product_48,9
2010,A,103,product_55,23
2010,A,103,product_60,3
2010,A,103,product_64,5
2010,A,103,product_8,16
2010,A,106,product_14,5
2010,A,106,product_31,1
2010,A,106,product_48,4
2010,A,106,product_55,5
2010,A,106,product_8,1
2010,A,107,product_14,4
2010,A,107,product_3,1
2010,A,107,product_48,1
2010,A,107,product_55,12
2010,A,107,product_8,1
2010,A,108,product_14,2
2010,A,108,product_15,2
2010,A,108,product_19,2
2010,A,108,product_37,1
2010,A,108,product_48,2
2010,A,108,product_55,9
2010,A,108,product_8,1
2010,A,112,product_14,2
2010,A,112,product_15,3
2010,A,112,product_19,1
2010,A,112,product_31,4
2010,A,112,product_37,1
2010,A,112,product_48,1
2010,A,112,product_55,14
2010,A,112,product_8,214
2010,A,114,product_14,7
2010,A,114,product_15,4
2010,A,114,product_37,5
2010,A,114,product_48,2
2010,A,114,product_55,47
2010,A,115,product_14,5
2010,A,115,product_37,3
2010,A,115,product_43,1
2010,A,115,product_48,1
2010,A,115,product_55,9
2010,A,115,product_64,3
2010,A,115,product_8,30
2010,A,116,product_14,7
2010,A,116,product_15,5
2010,A,116,product_19,1
2010,A,116,product_31,3
2010,A,116,product_37,2
2010,A,116,product_48,5
2010,A,116,product_55,15
2010,A,116,product_64,1
2010,A,116,product_8,27
2010,A,118,product_14,43
2010,A,118,product_15,4
2010,A,118,product_37,8
2010,A,118,product_48,4
2010,A,118,product_55,26
2010,A,118,product_60,2
2010,A,118,product_64,1
2010,A,118,product_8,4
2010,A,120,product_14,7
2010,A,120,product_15,2
2010,A,120,product_19,3
2010,A,120,product_3,2
2010,A,120,product_31,7
2010,A,120,product_35,2
2010,A,120,product_37,1
2010,A,120,product_48,6
2010,A,120,product_55,41
2010,A,120,product_60,5
2010,A,120,product_64,3
2010,A,120,product_8,33
2010,A,124,product_14,3
2010,A,124,product_37,2
2010,A,124,product_55,14
2010,A,124,product_8,1
2010,A,126,product_15,1
2010,A,126,product_48,1
2010,A,126,product_55,1
2010,A,126,product_60,1
2010,A,126,product_8,4
2010,A,130,product_14,9
2010,A,130,product_15,2
2010,A,130,product_26,1
2010,A,130,product_31,1
2010,A,130,product_48,1
2010,A,130,product_55,9
2010,A,132,product_14,1
2010,A,132,product_31,2
2010,A,132,product_48,1
2010,A,132,product_55,6
2010,A,132,product_60,1
2010,A,132,product_8,3
2010,A,135,product_14,2
2010,A,135,product_43,1
2010,A,135,product_55,5
2010,A,140,product_14,7
2010,A,140,product_15,2
2010,A,140,product_48,2
2010,A,140,product_55,4
2010,A,140,product_8,12
2010,A,141,product_14,5
2010,A,141,product_31,1
2010,A,141,product_55,8
2010,A,141,product_8,5
2010,A,142,product_19,1
2010,A,142,product_31,1
2010,A,142,product_48,3
2010,A,142,product_55,2
2010,A,145,product_14,1
2010,A,145,product_55,1
2010,A,148,product_14,57
2010,A,148,product_15,9
2010,A,148,product_19,4
2010,A,148,product_3,3
2010,A,148,product_31,6
2010,A,148,product_37,5
2010,A,148,product_48,12
2010,A,148,product_55,77
2010,A,148,product_60,3
2010,A,148,product_64,11
2010,A,148,product_8,130
2010,A,149,product_14,55
2010,A,149,product_15,6
2010,A,149,product_19,2
2010,A,149,product_3,2
2010,A,149,product_31,4
2010,A,149,product_37,18
2010,A,149,product_43,6
2010,A,149,product_48,30
2010,A,149,product_55,135
2010,A,149,product_64,8
2010,A,149,product_8,333
2010,A,151,product_14,1
2010,A,151,product_37,1
2010,A,151,product_48,1
2010,A,151,product_55,2
2010,A,151,product_8,4
2010,A,153,product_14,8
2010,A,153,product_37,1
2010,A,153,product_43,1
2010,A,153,product_55,7
2010,A,154,product_14,34
2010,A,154,product_15,10
2010,A,154,product_19,2
2010,A,154,product_3,1
2010,A,154,product_31,4
2010,A,154,product_37,5
2010,A,154,product_43,1
2010,A,154,product_48,7
2010,A,154,product_55,39
2010,A,154,product_60,1
2010,A,154,product_64,4
2010,A,154,product_8,39
2010,A,156,product_14,18
2010,A,156,product_19,1
2010,A,156,product_37,1
2010,A,156,product_43,1
2010,A,156,product_48,1
2010,A,156,product_55,9
2010,A,156,product_8,1
2010,A,157,product_14,5
2010,A,157,product_26,1
2010,A,157,product_37,3
2010,A,157,product_48,3
2010,A,157,product_55,5
2010,A,157,product_8,4
2010,A,168,product_14,10
2010,A,168,product_15,2
2010,A,168,product_19,1
2010,A,168,product_31,2
2010,A,168,product_37,1
2010,A,168,product_48,3
2010,A,168,product_55,11
2010,A,168,product_8,12
2010,A,174,product_14,8
2010,A,174,product_31,1
2010,A,174,product_48,1
2010,A,174,product_55,4
2010,A,174,product_8,8
2010,A,184,product_14,2
2010,A,184,product_19,3
2010,A,184,product_31,3
2010,A,184,product_43,3
2010,A,184,product_48,1
2010,A,184,product_55,8
2010,A,184,product_8,1
2010,A,185,product_14,1
2010,A,185,product_37,1
2010,A,185,product_55,8
2010,A,185,product_8,2
2010,A,187,product_14,62
2010,A,187,product_15,16
2010,A,187,product_26,1
2010,A,187,product_3,1
2010,A,187,product_31,2
2010,A,187,product_37,20
2010,A,187,product_48,8
2010,A,187,product_55,70
2010,A,187,product_60,1
2010,A,187,product_64,4
2010,A,187,product_8,12
2010,A,189,product_14,13
2010,A,189,product_15,5
2010,A,189,product_19,1
2010,A,189,product_3,3
2010,A,189,product_37,1
2010,A,189,product_48,4
2010,A,189,product_55,6
2010,A,189,product_64,1
2010,A,190,product_14,26
2010,A,190,product_15,9
2010,A,190,product_19,2
2010,A,190,product_3,1
2010,A,190,product_31,25
2010,A,190,product_37,9
2010,A,190,product_43,3
2010,A,190,product_48,14
2010,A,190,product_55,93
2010,A,190,product_60,5
2010,A,190,product_64,3
2010,A,190,product_8,38
2010,A,191,product_14,12
2010,A,191,product_15,3
2010,A,191,product_19,1
2010,A,191,product_31,12
2010,A,191,product_37,7
2010,A,191,product_43,1
2010,A,191,product_48,4
2010,A,191,product_55,30
2010,A,191,product_64,1
2010,A,191,product_8,69
2010,A,195,product_14,26
2010,A,195,product_15,3
2010,A,195,product_3,1
2010,A,195,product_31,5
2010,A,195,product_37,4
2010,A,195,product_43,6
2010,A,195,product_48,6
2010,A,195,product_55,56
2010,A,195,product_60,2
2010,A,195,product_64,1
2010,A,195,product_8,39
2010,A,197,product_14,77
2010,A,197,product_15,43
2010,A,197,product_19,2
2010,A,197,product_31,2
2010,A,197,product_37,27
2010,A,197,product_43,1
2010,A,197,product_48,11
2010,A,197,product_55,50
2010,A,197,product_60,4
2010,A,197,product_64,5
2010,A,198,product_14,29
2010,A,198,product_15,7
2010,A,198,product_19,2
2010,A,198,product_3,1
2010,A,198,product_31,8
2010,A,198,product_37,16
2010,A,198,product_43,2
2010,A,198,product_48,10
2010,A,198,product_55,25
2010,A,198,product_64,3
2010,A,198,product_8,126
2010,A,199,product_14,7
2010,A,199,product_15,1
2010,A,199,product_48,2
2010,A,199,product_55,5
2010,A,199,product_8,1
2010,A,202,product_14,3
2010,A,202,product_15,6
2010,A,202,product_3,1
2010,A,202,product_31,4
2010,A,202,product_48,1
2010,A,202,product_55,8
2010,A,203,product_14,1
2010,A,203,product_48,1
2010,A,203,product_55,3
2010,A,204,product_14,3
2010,A,204,product_15,2
2010,A,204,product_31,5
2010,A,204,product_37,2
2010,A,204,product_48,2
2010,A,204,product_55,13
2010,A,204,product_8,5
2010,A,208,product_14,7
2010,A,208,product_37,1
2010,A,208,product_43,2
2010,A,208,product_48,3
2010,A,208,product_55,3
2010,A,208,product_8,4
2010,A,211,product_14,12
2010,A,211,product_15,1
2010,A,211,product_3,3
2010,A,211,product_55,2
2010,A,214,product_14,15
2010,A,214,product_15,2
2010,A,214,product_19,2
2010,A,214,product_31,9
2010,A,214,product_37,1
2010,A,214,product_43,1
2010,A,214,product_48,3
2010,A,214,product_55,11
2010,A,216,product_15,1
2010,A,216,product_55,2
2010,A,216,product_64,1
2010,A,216,product_8,4
2010,A,218,product_14,4
2010,A,218,product_26,3
2010,A,218,product_37,1
2010,A,218,product_48,3
2010,A,218,product_55,4
2010,A,218,product_8,10
2010,A,221,product_14,3
2010,A,221,product_48,1
2010,A,221,product_64,2
2010,A,221,product_8,2
2010,A,223,product_14,18
2010,A,223,product_15,13
2010,A,223,product_19,2
2010,A,223,product_26,1
2010,A,223,product_3,1
2010,A,223,product_31,7
2010,A,223,product_37,2
2010,A,223,product_43,1
2010,A,223,product_48,5
2010,A,223,product_53,3
2010,A,223,product_55,54
2010,A,223,product_64,4
2010,A,223,product_8,84
2010,A,225,product_14,9
2010,A,225,product_15,10
2010,A,225,product_3,1
2010,A,225,product_37,2
2010,A,225,product_48,1
2010,A,225,product_55,12
2010,A,225,product_60,1
2010,A,225,product_8,20
2010,A,226,product_55,1
2010,A,227,product_37,1
2010,A,227,product_55,1
2010,A,228,product_14,2
2010,A,228,product_15,1
2010,A,228,product_37,1
2010,A,228,product_43,1
2010,A,228,product_53,1
2010,A,228,product_55,3
2010,A,228,product_64,1
2010,A,228,product_8,13
2010,A,231,product_14,4
2010,A,231,product_15,3
2010,A,231,product_48,1
2010,A,231,product_55,3
2010,A,232,product_37,1
2010,A,232,product_55,25
2010,A,232,product_8,3
2010,A,233,product_14,30
2010,A,233,product_15,12
2010,A,233,product_27,1
2010,A,233,product_28,1
2010,A,233,product_3,2
2010,A,233,product_31,19
2010,A,233,product_37,21
2010,A,233,product_43,5
2010,A,233,product_48,16
2010,A,233,product_55,167
2010,A,233,product_60,1
2010,A,233,product_64,6
2010,A,233,product_8,102
2010,A,243,product_14,3
2010,A,243,product_15,3
2010,A,243,product_3,1
2010,A,243,product_48,3
2010,A,243,product_55,6
2010,A,243,product_60,1
2010,A,243,product_64,1
2010,A,245,product_14,4
2010,A,245,product_31,1
2010,A,245,product_55,2
2010,A,245,product_8,2
2010,A,249,product_14,4
2010,A,249,product_19,1
2010,A,249,product_37,3
2010,A,249,product_43,3
2010,A,249,product_48,5
2010,A,249,product_55,8
2010,A,249,product_64,1
2010,A,249,product_8,41
2010,A,255,product_14,39
2010,A,255,product_15,6
2010,A,255,product_31,1
2010,A,255,product_37,7
2010,A,255,product_48,7
2010,A,255,product_55,90
2010,A,255,product_64,2
2010,A,255,product_8,1
2010,A,262,product_14,1
2010,A,262,product_15,2
2010,A,262,product_48,2
2010,A,262,product_55,8
2010,A,263,product_14,13
2010,A,263,product_15,2
2010,A,263,product_3,1
2010,A,263,product_31,2
2010,A,263,product_37,1
2010,A,263,product_48,1
2010,A,263,product_55,9
2010,A,263,product_64,1
2010,A,263,product_8,13
2010,A,267,product_14,2
2010,A,267,product_8,3
2010,A,272,product_14,2
2010,A,272,product_15,1
